,Product Name,Prices,Description,Reviews
0,Bzrqx Gift Toy Baby Camera Gift Kids Children HD 2 Inch Color Screen Digital Cameras For Girls Boys To...,₹899,Effective Pixels: 8 MPHD7 Days Replacement Warranty,2.7
1,Bzrqx Gift Toy Baby Camera HD 8MP Video Digital Sports Camera Mini 2 Inch Screen Recorder with Soft Co...,₹899,Effective Pixels: 8 MPHD7 Days Replacement Warranty,4.5
2,Canon R100 Mirrorless Camera RF-S 18-45mm f/4.5-6.3 IS STM,"₹47,990","DIGIC 8 Image Processor, 4K 24p Video with Crop, Full HD 60p, Dual Pixel CMOS AF with 143 AF Zones, 6.5 fps Electronic Shutter, 2.36m-Dot OLED EVF, 3"" 1.04m-Dot LCD Screen, Creative Assist Mode, Silent Mode for Quiet Operation, Bluetooth with SD Card SlotEffective Pixels: 24.1 MPSensor Type: CMOSWiFi Available4K2 Years Warranty",4
3,Canon PowerShot V10,"₹29,990",Effective Pixels: 15.2 MPOptical Zoom: 3x | Digital Zoom: 3xAuto FocusDisplay Size: 2 inch2 Years Warranty,2
4,Toyvala Unique Digital Camera For Kids With SD Card (4 GB) N/A Instant Camera,₹999,Effective Pixels: 8 MPOptical Zoom: N/ASensor Type: CCD | LCD Size: 2 inchMax Shutter Speed: 3N/A,3
5,"Orelius Fire Kids Digital Video Camera, 5.0MP Rechargeable Camera Shockproof 1080P HD 18 Advanced Poin...","₹1,100",Effective Pixels: 5 MPOptical Zoom: 4Sensor Type: BSI CMOS | LCD Size: 4 inchMax Shutter Speed: 42 Days Replacement Warranty,3
6,"TechKing GENERIC Toys Kids Mini Camera, Christmas Birthday Gifts Toddler Camera for Boys Girls",₹999,Effective Pixels: 10 MPOptical Zoom: 8 | Digital Zoom: 25Display Size: 3 inch1 Year Dummy Company Domestic Warranty,2.8
7,Richuzers Point And Shoot Digital Camera For Kids Best Gift For Kids,₹999,Effective Pixels: 3 MPOptical Zoom: 0 | Digital Zoom: 0Display Size: 2 inchReplacement warranty against manufacturing defect,4.8
8,Ricoh GRIII Digital Camera,"₹84,499",Effective Pixels: 24.24 MPOptical Zoom: NA | Digital Zoom: NADisplay Size: 3 inch1 Year Limited Warranty against Manufacturing Defects.,4.4
9,SONY Cyber-shot DSC-RX100M3,"₹50,990",Effective Pixels: 20.1 MPOptical Zoom: 2.9 | Digital Zoom: 44xAuto FocusDisplay Size: 32 Year Warranty,1.5
10,Ricoh Theta Theta X 360 Degree Camera 5.7K Video with Image Stabilization,"₹61,299",Effective Pixels: 48 MPOptical Zoom: NA | Digital Zoom: NADisplay Size: 2.25 inch1 Year Limited Warranty Against Manufacturing Defects,3.5
11,"LionBolt CAM-X2B0 Toys Kids Mini Camera, Christmas Birthday Gifts Parties",₹999,Effective Pixels: 5 MPOptical Zoom: NA | Digital Zoom: NADisplay Size: 3 inchNA,3.5
